ns=3;i=6039	PosIndirect
ns=3;i=6037	PosTcpBcsA
ns=3;i=6038	CncSystems
ns=3;i=6035	NamespaceUri
ns=3;i=6036	EngineeringUnits
ns=3;i=6033	ActProgramBlock
ns=3;i=6034	ActProgramFile
ns=3;i=6031	ActMainProgramName
ns=3;i=6032	ActProgramFileOffset
ns=3;i=6030	ActProgramName
ns=4;i=18191	ExecutionModeEnumeration
ns=0;i=11853	Comment
ns=0;i=11852	SelectedResponse
ns=0;i=10522	SetpointNode
ns=0;i=11851	Comment
ns=4;i=15913	ProtectiveStop
ns=3;i=6048	ActStatus
ns=4;i=15912	OperationalMode
ns=3;i=6049	BlockMode
ns=3;i=6046	ActPos
ns=3;i=6047	ActProgramLine
ns=3;i=6044	CmdPos
ns=3;i=6045	EngineeringUnits
ns=3;i=6042	CncPositionDataType
ns=3;i=6043	CncPositionDataType
ns=3;i=6040	NamespaceUri
ns=3;i=6041	PosDirect
ns=4;i=18194	EnumStrings
ns=4;i=18193	MotionDeviceCategoryEnumeration
ns=4;i=18192	EnumStrings
ns=1;i=1488	ErrorCount
ns=1;i=1487	TotalCount
ns=1;i=1489	TotalCount
ns=1;i=1480	ErrorCount
ns=1;i=1482	ErrorCount
ns=1;i=1481	TotalCount
ns=1;i=1484	ErrorCount
ns=3;i=6059	ActChannel
ns=1;i=1483	TotalCount
ns=1;i=1486	ErrorCount
ns=3;i=6057	EngineeringUnits
ns=1;i=1485	TotalCount
ns=3;i=6058	PosTcpBcsA
ns=3;i=6055	ActOperationMode
ns=3;i=6056	ToolId
ns=3;i=6053	CmdPos
ns=3;i=6054	RemDist
ns=3;i=6051	EngineeringUnits
ns=3;i=6052	ActPos
ns=3;i=6050	RemDist
ns=0;i=11856	AuditProgramTransitionEventType
ns=0;i=11855	ShelvingTime
ns=0;i=10523	DiscreteAlarmType
ns=0;i=11854	Comment
ns=1;i=1499	TotalCount
ns=0;i=7737	DeleteReferencesItem
ns=1;i=1498	ErrorCount
ns=0;i=7734	DeleteNodesItem
ns=0;i=11875	TransitionNumber
ns=1;i=1491	TotalCount
ns=1;i=1490	ErrorCount
ns=1;i=1493	TotalCount
ns=1;i=1492	ErrorCount
ns=1;i=1495	TotalCount
ns=1;i=1494	ErrorCount
ns=1;i=1497	TotalCount
ns=3;i=6068	ActPos
ns=0;i=7731	AddReferencesItem
ns=1;i=1496	ErrorCount
ns=3;i=6069	CmdPos
ns=3;i=6066	CmdTorque
ns=4;i=15941	GearRatio
ns=3;i=6067	EURange
ns=3;i=6064	ActTorque
ns=3;i=6065	EURange
ns=3;i=6062	ActPower
ns=3;i=6063	EURange
ns=3;i=6060	ActLoad
ns=3;i=6061	EURange
ns=3;i=6079	EURange
ns=3;i=6077	ActSpeed
ns=3;i=6078	EngineeringUnits
ns=3;i=6075	VendorName
ns=3;i=6076	ActGear
ns=3;i=6073	ActPos
ns=3;i=6074	CmdPos
ns=3;i=6072	AnglePos
ns=3;i=6070	RemDist
ns=0;i=14088	DefaultHttpsGroup
ns=9;i=3003	MaterialMappingType
ns=0;i=14089	TrustList
ns=3;i=6088	ActPos
ns=3;i=6089	CmdPos
ns=3;i=6086	ActPos
ns=3;i=6087	CmdPos
ns=3;i=6084	EURange
ns=3;i=6085	RemDist
ns=3;i=6082	ActTurnDirection
ns=3;i=6083	EngineeringUnits
ns=3;i=6081	ActStatus
ns=4;i=18180	IsDrivenBy
ns=0;i=14097	OutputArguments
ns=0;i=14098	Close
ns=4;i=15905	<PowerTrainIdentifier>
ns=0;i=14099	InputArguments
ns=0;i=7782	RegisteredServer
ns=0;i=14093	OpenCount
ns=0;i=14095	Open
ns=0;i=14096	InputArguments
ns=0;i=14090	Size
ns=0;i=14091	Writable
ns=3;i=6097	EngineeringUnits
ns=0;i=14092	UserWritable
ns=3;i=6096	CmdSpeed
ns=3;i=6093	VendorRevision
ns=3;i=6094	Version
ns=3;i=6091	CmdGear
ns=3;i=6092	CncTypeName
ns=4;i=18183	HasSlave
ns=4;i=18182	HasSafetyStates
ns=4;i=18181	IsConnectedTo
ns=4;i=18179	Requires
ns=4;i=18178	Moves
ns=4;i=18177	Name
ns=4;i=18176	Level
ns=4;i=18175	UserType
ns=4;i=18173	Z
ns=4;i=18172	Y
ns=4;i=18171	X
ns=4;i=18170	Inertia
ns=1;i=1422	MaxResponseMessageSize
ns=1;i=1421	ActualSessionTimeout
ns=1;i=1424	ClientLastContactTime
ns=1;i=1423	ClientConnectionTime
ns=1;i=1426	CurrentMonitoredItemsCount
ns=0;i=15366	Default JSON
ns=1;i=1425	CurrentSubscriptionsCount
ns=0;i=15367	Default JSON
ns=1;i=1428	TotalRequestCount
ns=0;i=15368	Default JSON
ns=1;i=1427	CurrentPublishRequestsInQueue
ns=0;i=15369	Default JSON
ns=0;i=15362	Default JSON
ns=0;i=15363	Default JSON
ns=0;i=15364	Default JSON
ns=0;i=15365	Default JSON
ns=1;i=1420	LocaleIds
ns=0;i=15361	Default JSON
ns=1;i=1419	EndpointUrl
ns=1;i=1418	ServerUri
ns=1;i=1433	HistoryUpdateCount
ns=1;i=1432	WriteCount
ns=1;i=1435	CreateMonitoredItemsCount
ns=1;i=1434	CallCount
ns=1;i=1437	SetMonitoringModeCount
ns=0;i=15377	Default JSON
ns=1;i=1436	ModifyMonitoredItemsCount
ns=0;i=15378	Default JSON
ns=1;i=1439	DeleteMonitoredItemsCount
ns=0;i=15379	Default JSON
ns=1;i=1438	SetTriggeringCount
ns=0;i=15373	Default JSON
ns=0;i=15374	Default JSON
ns=0;i=15375	Default JSON
ns=0;i=15376	Default JSON
ns=4;i=15999	ParameterSet
ns=0;i=15370	Default JSON
ns=1;i=1431	HistoryReadCount
ns=0;i=15371	Default JSON
ns=1;i=1430	ReadCount
ns=4;i=15998	<MotorIdentifier>
ns=0;i=15372	Default JSON
ns=1;i=1429	UnauthorizedRequestCount
ns=1;i=1400	TotalCount
ns=1;i=1402	TotalCount
ns=1;i=1401	ErrorCount
ns=1;i=1404	TotalCount
ns=0;i=15388	LastMethodCall
ns=1;i=1403	ErrorCount
ns=0;i=15389	LastMethodSessionId
ns=1;i=1406	TotalCount
ns=1;i=1405	ErrorCount
ns=0;i=14053	CertificateGroups
ns=0;i=15384	CreateSessionId
ns=0;i=15385	CreateClientName
ns=0;i=15386	InvocationCreationTime
ns=0;i=15387	LastTransitionTime
ns=0;i=15380	Default JSON
ns=0;i=15381	Default JSON
ns=0;i=15382	Default JSON
ns=0;i=15383	ProgramDiagnostic2Type
ns=2;i=6174	OutputArguments
ns=2;i=6173	BreakLock
ns=2;i=6170	OutputArguments
ns=2;i=6172	OutputArguments
ns=2;i=6171	ExitLock
ns=1;i=1411	ErrorCount
ns=1;i=1410	TotalCount
ns=1;i=1413	ErrorCount
ns=1;i=1412	TotalCount
ns=1;i=1415	SessionId
ns=1;i=1414	ns=1;g=11A58F77-57A3-1D0A-504C-787781BCAAB3
ns=1;i=1417	ClientDescription
ns=1;i=1416	SessionName
ns=0;i=15395	LastMethodReturnStatus
ns=0;i=15396	ProgramDiagnostic2DataType
ns=0;i=15397	Default Binary
ns=0;i=15398	ProgramDiagnostic2DataType
ns=2;i=6167	InputArguments
ns=0;i=15391	LastMethodOutputArguments
ns=2;i=6166	InitLock
ns=0;i=15392	LastMethodInputValues
ns=2;i=6169	RenewLock
ns=0;i=15393	LastMethodOutputValues
ns=2;i=6168	OutputArguments
ns=0;i=15394	LastMethodCallTime
ns=2;i=6163	LockingClient
ns=2;i=6165	RemainingLockTime
ns=2;i=6164	LockingUser
ns=0;i=15390	LastMethodInputArguments
ns=2;i=6161	Lock
ns=1;i=1408	TotalCount
ns=1;i=1407	ErrorCount
ns=1;i=1409	ErrorCount
ns=1;i=1466	ErrorCount
ns=0;i=17989	AgencyId
ns=1;i=1465	TotalCount
ns=0;i=17988	ListId
ns=1;i=1468	ErrorCount
ns=1;i=1467	TotalCount
ns=1;i=1469	TotalCount
ns=0;i=17987	OutputArguments
ns=0;i=7728	AddNodesItem
ns=0;i=17986	AudioVariableType
ns=1;i=1460	ApplicationName
ns=1;i=1462	GatewayServerUri
ns=1;i=1461	ApplicationType
ns=1;i=1464	DiscoveryUrls
ns=1;i=1463	DiscoveryProfileUri
ns=0;i=15319	DataSetReaderTransportType
ns=1;i=1477	TotalCount
ns=1;i=1476	ErrorCount
ns=0;i=17999	ReaderGroupType
ns=1;i=1479	TotalCount
ns=1;i=1478	ErrorCount
ns=0;i=15334	ResourceUri
ns=0;i=17998	WriterGroupMessageType
ns=0;i=17997	WriterGroupTransportType
ns=0;i=17992	RemoveDataSetWriter
ns=3;i=6008	EURange
ns=0;i=17991	StartTime
ns=0;i=15330	RequestedDeliveryGuarantee
ns=3;i=6009	FeedHold
ns=1;i=1471	TotalCount
ns=3;i=6006	EURange
ns=1;i=1470	ErrorCount
ns=0;i=17993	InputArguments
ns=3;i=6007	CmdFeedrate
ns=1;i=1473	TotalCount
ns=3;i=6004	EURange
ns=1;i=1472	ErrorCount
ns=3;i=6005	ActFeedrate
ns=1;i=1475	TotalCount
ns=3;i=6002	EURange
ns=0;i=17990	VersionId
ns=1;i=1474	ErrorCount
ns=3;i=6003	CmdOverride
ns=3;i=6001	ActOverride
ns=1;i=1444	RepublishCount
ns=1;i=1443	PublishCount
ns=0;i=15349	Default JSON
ns=1;i=1446	DeleteSubscriptionsCount
ns=1;i=1445	TransferSubscriptionsCount
ns=1;i=1448	AddReferencesCount
ns=1;i=1447	AddNodesCount
ns=1;i=1449	DeleteNodesCount
ns=3;i=6017	Id
ns=3;i=6018	EngineeringUnits
ns=1;i=1440	CreateSubscriptionCount
ns=3;i=6015	EngineeringUnits
ns=3;i=6016	Id
ns=1;i=1442	SetPublishingModeCount
ns=3;i=6013	EngineeringUnits
ns=1;i=1441	ModifySubscriptionCount
ns=3;i=6014	EngineeringUnits
ns=3;i=6011	EngineeringUnits
ns=3;i=6012	EngineeringUnits
ns=3;i=6010	EngineeringUnits
ns=1;i=1455	QueryNextCount
ns=1;i=1454	QueryFirstCount
ns=1;i=1457	UnregisterNodesCount
ns=1;i=1456	RegisterNodesCount
ns=1;i=1459	ProductUri
ns=1;i=1458	ApplicationUri
ns=3;i=6028	ActGFunctions
ns=3;i=6029	ActModalOffsetFunction
ns=1;i=1451	BrowseCount
ns=3;i=6026	ActJogIncrement
ns=1;i=1450	DeleteReferencesCount
ns=3;i=6027	EURange
ns=1;i=1453	TranslateBrowsePathsToNodeIdsCount
ns=3;i=6024	DryRunFeed
ns=1;i=1452	BrowseNextCount
ns=3;i=6025	EURange
ns=3;i=6022	CncSystems
ns=3;i=6023	ActProgramStatus
ns=3;i=6021	EngineeringUnits
ns=0;i=2994	Auditing
ns=0;i=2993	ShutdownReason
ns=0;i=2996	ModellingRules
ns=0;i=15405	Default JSON
ns=0;i=15406	AccessLevelExType
ns=0;i=2998	EventNotificationsCount
ns=0;i=2997	AggregateFunctions
ns=0;i=15401	Default XML
ns=0;i=2999	AuditHistoryEventUpdateEventType
ns=0;i=15402	ProgramDiagnostic2DataType
ns=0;i=2992	SecondsTillShutdown
ns=0;i=2991	InputArguments
ns=0;i=899	Default Binary
ns=0;i=898	Default XML
ns=0;i=15414	ApplicationsExclude
ns=0;i=15415	EndpointsExclude
ns=0;i=15416	ApplicationsExclude
ns=0;i=15417	EndpointsExclude
ns=0;i=15410	ApplicationsExclude
ns=0;i=15411	EndpointsExclude
ns=0;i=15412	ApplicationsExclude
ns=0;i=15413	EndpointsExclude
