ns=4;s=Demo.Dynamic.Arrays.QualifiedName	QualifiedName
ns=0;i=2073	ClientCertificate
ns=0;i=2072	SecureChannelId
ns=0;i=2075	AuditActivateSessionEventType
ns=0;i=2074	RevisedSessionTimeout
ns=0;i=2077	UserIdentityToken
ns=0;i=2076	ClientSoftwareCertificates
ns=4;s=Demo.CTT.References.Has3InverseReferences	Has3InverseReferences
ns=0;i=2079	RequestHandle
ns=0;i=2078	AuditCancelEventType
ns=1;s=Session_617952893.SessionDiagnostics.SetPublishingModeCount	SetPublishingModeCount
ns=0;i=2071	AuditCreateSessionEventType
ns=0;i=2070	SessionId
ns=4;s=Demo.Dynamic.Scalar.ExpandedNodeId	ExpandedNodeId
ns=0;i=2069	AuditSessionEventType
ns=4;s=Demo.CTT.References.HasReferencesWithDifferentParentTypes	HasReferencesWithDifferentParentTypes
ns=0;i=11853	Comment
ns=0;i=11852	SelectedResponse
ns=0;i=10522	SetpointNode
ns=0;i=11851	Comment
ns=0;i=2062	RequestType
ns=0;i=2061	ClientCertificate
ns=4;s=Demo.WorkOrder.WorkOrderVariable	WorkOrderVariable
ns=0;i=2063	SecurityPolicyUri
ns=0;i=2066	RequestedLifetime
ns=0;i=2065	SecurityMode
ns=4;s=Demo.Dynamic.Arrays.StatusCode	StatusCode
ns=4;s=Demo.CTT.DAProfile.MultiStateValueDiscreteType.Int64.ValueAsText	ValueAsText
ns=0;i=2060	AuditOpenSecureChannelEventType
ns=4;s=Demo.CTT.SecurityAccess.AccessLevel_CurrentWrite_NotUser	AccessLevel_CurrentWrite_NotUser
ns=0;i=2059	AuditChannelEventType
ns=0;i=2058	AuditSecurityEventType
ns=0;i=2051	Severity
ns=0;i=2050	Message
ns=0;i=2053	ActionTimeStamp
ns=0;i=2052	AuditEventType
ns=0;i=2055	ServerId
ns=0;i=2054	Status
ns=0;i=18496	SystemDiagnosticAlarmType
ns=0;i=2057	ClientUserId
ns=0;i=2056	ClientAuditEntryId
ns=0;i=11856	AuditProgramTransitionEventType
ns=0;i=11855	ShelvingTime
ns=0;i=10523	DiscreteAlarmType
ns=0;i=11854	Comment
ns=0;i=2047	ReceiveTime
ns=0;i=14900	ExpirationLimit
ns=0;i=11875	TransitionNumber
ns=4;s=Demo.CTT.DAProfile.DataItem.Float	Float
ns=0;i=2040	ServerUriArray
ns=0;i=2042	EventId
ns=0;i=2041	BaseEventType
ns=0;i=2044	SourceNode
ns=0;i=2043	EventType
ns=0;i=2046	Time
ns=0;i=2045	SourceName
ns=4;s=Demo.Static.Matrix.XmlElement	XmlElement
ns=4;i=20480	Variable480
ns=4;i=20483	Variable483
ns=4;i=20484	Variable484
ns=4;i=20481	Variable481
ns=4;i=20482	Variable482
ns=4;i=20476	Variable476
ns=4;i=20477	Variable477
ns=4;i=20474	Variable474
ns=4;i=20475	Variable475
ns=4;i=20478	Variable478
ns=4;i=20479	Variable479
ns=4;i=20472	Variable472
ns=4;i=20473	Variable473
ns=4;i=20470	Variable470
ns=4;i=20471	Variable471
ns=1;s=Session_617952893.SessionDiagnostics.SetTriggeringCount	SetTriggeringCount
ns=4;i=20465	Variable465
ns=4;i=21796	Variable796
ns=4;i=20466	Variable466
ns=4;i=21797	Variable797
ns=4;i=20463	Variable463
ns=4;i=21794	Variable794
ns=4;i=20464	Variable464
ns=4;i=21795	Variable795
ns=4;i=20469	Variable469
ns=4;i=20467	Variable467
ns=4;i=21798	Variable798
ns=4;i=20468	Variable468
ns=4;i=21799	Variable799
ns=0;i=2095	AuditAddReferencesEventType
ns=0;i=2094	NodesToDelete
ns=0;i=2097	AuditDeleteReferencesEventType
ns=0;i=2096	ReferencesToAdd
ns=0;i=2099	AuditUpdateEventType
ns=0;i=2098	ReferencesToDelete
ns=0;i=2091	AuditAddNodesEventType
ns=0;i=2090	AuditNodeManagementEventType
ns=0;i=2093	AuditDeleteNodesEventType
ns=1;s=Session_617952893.SessionDiagnostics.WriteCount	WriteCount
ns=0;i=2092	NodesToAdd
ns=4;i=20498	Variable498
ns=4;s=Demo.CTT.Paths.folder1.folder2.folder3.folder4	folder4
ns=4;i=20499	Variable499
ns=4;i=20496	Variable496
ns=4;i=20497	Variable497
ns=1;s=Session_617952893.SessionDiagnostics.TotalRequestCount	TotalRequestCount
ns=4;s=Demo.Static.Matrix.UInt64	UInt64
ns=4;i=20490	Variable490
ns=4;i=20491	Variable491
ns=4;i=20494	Variable494
ns=4;i=20495	Variable495
ns=1;s=Session_617952893.SessionDiagnostics.RegisterNodesCount	RegisterNodesCount
ns=4;i=20492	Variable492
ns=4;i=20493	Variable493
ns=0;i=2084	InvalidUri
ns=0;i=2083	InvalidHostname
ns=0;i=2086	AuditCertificateInvalidEventType
ns=0;i=2085	AuditCertificateExpiredEventType
ns=0;i=2088	AuditCertificateRevokedEventType
ns=0;i=2087	AuditCertificateUntrustedEventType
ns=0;i=2089	AuditCertificateMismatchEventType
ns=0;i=2080	AuditCertificateEventType
ns=0;i=2082	AuditCertificateDataMismatchEventType
ns=0;i=2081	Certificate
ns=4;i=20487	Variable487
ns=4;i=20488	Variable488
ns=4;i=20485	Variable485
ns=4;i=20486	Variable486
ns=4;i=20489	Variable489
ns=4;s=Demo.Dynamic.Scalar.SByte	SByte
ns=4;s=Demo.CTT.AllProfiles.Arrays.Int64	Int64
ns=4;s=Demo.Static.Scalar.Vector	Vector
ns=0;i=15388	LastMethodCall
ns=0;i=15389	LastMethodSessionId
ns=0;i=14053	CertificateGroups
ns=0;i=15384	CreateSessionId
ns=0;i=15385	CreateClientName
ns=4;s=Demo.CTT.AllProfiles.Arrays.Int32	Int32
ns=0;i=15386	InvocationCreationTime
ns=0;i=15387	LastTransitionTime
ns=0;i=15383	ProgramDiagnostic2Type
ns=2;i=6174	OutputArguments
ns=2;i=6173	BreakLock
ns=2;i=6170	OutputArguments
ns=2;i=6172	OutputArguments
ns=2;i=6171	ExitLock
ns=0;i=15395	LastMethodReturnStatus
ns=0;i=15396	ProgramDiagnostic2DataType
ns=4;s=Demo.CTT.DAProfile.DataItem.Byte	Byte
ns=0;i=15391	LastMethodOutputArguments
ns=2;i=6167	InputArguments
ns=0;i=15392	LastMethodInputValues
ns=2;i=6166	InitLock
ns=0;i=15393	LastMethodOutputValues
ns=2;i=6169	RenewLock
ns=0;i=15394	LastMethodCallTime
ns=2;i=6168	OutputArguments
ns=2;i=6163	LockingClient
ns=2;i=6165	RemainingLockTime
